,Knowledge ID #,Citation #,Reference,Reference Type,Reference Rank
9870,988,1,"Sun, P., Huang, L., Shuai, P., Wan, Z., Liu, Y., Xue, J., & Liu, Y. (2022). Effect of a High Protein, Low Glycemic Index Dietary Intervention on Metabolic Dysfunction-Associated Fatty Liver Disease: A Randomized Controlled Trial. Frontiers in nutrition, 9, 863834. https://doi.org/10.3389/fnut.2022.863834",Journal Article,1
9930,994,1,"Nehlig A. (2016). Effects of coffee/caffeine on brain health and disease: What should I tell my patients?. Practical neurology, 16(2), 89–95. https://doi.org/10.1136/practneurol-2015-001162",Journal Article,1
9960,997,1,"Debras, C., Chazelas, E., Srour, B., Druesne-Pecollo, N., Esseddik, Y., Szabo de Edelenyi, F., Agaësse, C., De Sa, A., Lutchia, R., Gigandet, S., Huybrechts, I., Julia, C., Kesse-Guyot, E., Allès, B., Andreeva, V. A., Galan, P., Hercberg, S., Deschasaux-Tanguy, M., & Touvier, M. (2022). Artificial sweeteners and cancer risk: Results from the NutriNet-Santé population-based cohort study. PLoS medicine, 19(3), e1003950. https://doi.org/10.1371/journal.pmed.1003950",Journal Article,1
10000,1001,1,"Vahid Dastjerdi, M., Eslami, B., Alsadat Sharifi, M., Moini, A., Bayani, L., Mohammad Khani, H., & Alipour, S. (2018). Effect of Soy Isoflavone on Hot Flushes, Endometrial Thickness, and Breast Clinical as well as Sonographic Features. Iranian journal of public health, 47(3), 382–389.",Journal Article,1
10010,1002,1,"Florido, R., Daya, N. R., Ndumele, C. E., Koton, S., Russell, S. D., Prizment, A., Blumenthal, R. S., Matsushita, K., Mok, Y., Felix, A. S., Coresh, J., Joshu, C. E., Platz, E. A., & Selvin, E. (2022). Cardiovascular Disease Risk Among Cancer Survivors: The Atherosclerosis Risk In Communities (ARIC) Study. Journal of the American College of Cardiology, 80(1), 22–32. https://doi.org/10.1016/j.jacc.2022.04.042",Journal Article,1
10020,1003,1,"Sun, Y., Zhang, P., Liu, S., Li, H., Jiang, J., Chen, S., & Chen, J. (2017). Intra-articular Steroid Injection for Frozen Shoulder: A Systematic Review and Meta-analysis of Randomized Controlled Trials With Trial Sequential Analysis. The American journal of sports medicine, 45(9), 2171–2179. https://doi.org/10.1177/0363546516669944",Journal Article,1
10030,1004,1,"Tønnesen H. (2003). Alcohol abuse and postoperative morbidity. Danish medical bulletin, 50(2), 139–160.",Journal Article,1
10170,1018,1,"Hursel, R., Viechtbauer, W., & Westerterp-Plantenga, M. S. (2009). The effects of green tea on weight loss and weight maintenance: a meta-analysis. International journal of obesity (2005), 33(9), 956–961. https://doi.org/10.1038/ijo.2009.135",Journal Article,1
10171,1018,2,"Jurgens, T. M., Whelan, A. M., Killian, L., Doucette, S., Kirk, S., & Foy, E. (2012). Green tea for weight loss and weight maintenance in overweight or obese adults. The Cochrane database of systematic reviews, 12(12), CD008650. https://doi.org/10.1002/14651858.CD008650.pub2",Journal Article,1
10210,1022,1,"Gualano, B., Novaes, R. B., Artioli, G. G., Freire, T. O., Coelho, D. F., Scagliusi, F. B., Rogeri, P. S., Roschel, H., Ugrinowitsch, C., & Lancha, A. H., Jr (2008). Effects of creatine supplementation on glucose tolerance and insulin sensitivity in sedentary healthy males undergoing aerobic training. Amino acids, 34(2), 245–250. https://doi.org/10.1007/s00726-007-0508-1",Journal Article,1
10211,1022,2,"Gualano, B., DE Salles Painneli, V., Roschel, H., Artioli, G. G., Neves, M., Jr, De Sá Pinto, A. L., Da Silva, M. E., Cunha, M. R., Otaduy, M. C., Leite, C., Ferreira, J. C., Pereira, R. M., Brum, P. C., Bonfá, E., & Lancha, A. H., Jr (2011). Creatine in type 2 diabetes: a randomized, double-blind, placebo-controlled trial. Medicine and science in sports and exercise, 43(5), 770–778. https://doi.org/10.1249/MSS.0b013e3181fcee7d",Journal Article,1
10212,1022,3,"van Loon, L. J., Murphy, R., Oosterlaar, A. M., Cameron-Smith, D., Hargreaves, M., Wagenmakers, A. J., & Snow, R. (2004). Creatine supplementation increases glycogen storage but not GLUT-4 expression in human skeletal muscle. Clinical science (London, England : 1979), 106(1), 99–106. https://doi.org/10.1042/CS20030116",Journal Article,1
10310,1032,1,"Rae, C., Digney, A. L., McEwan, S. R., & Bates, T. C. (2003). Oral creatine monohydrate supplementation improves brain performance: a double-blind, placebo-controlled, cross-over trial. Proceedings. Biological sciences, 270(1529), 2147–2150. https://doi.org/10.1098/rspb.2003.2492",Journal Article,1
10311,1032,2,"Benton, D., & Donohoe, R. (2011). The influence of creatine supplementation on the cognitive functioning of vegetarians and omnivores. The British journal of nutrition, 105(7), 1100–1105. https://doi.org/10.1017/S0007114510004733",Journal Article,1
10390,1040,1,"Nunan, D., Cai, T., Gardener, A. D., Ordóñez-Mena, J. M., Roberts, N. W., Thomas, E. T., & Mahtani, K. R. (2022). Physical activity for treatment of irritable bowel syndrome. The Cochrane database of systematic reviews, 6(6), CD011497. https://doi.org/10.1002/14651858.CD011497.pub2",Journal Article,1
10400,1041,1,"Horváth, K., Nemeth, D., & Janacsek, K. (2022). Inhibitory control hinders habit change. Scientific reports, 12(1), 8338. https://doi.org/10.1038/s41598-022-11971-6",Journal Article,1
10420,1043,1,"Beaulieu, K., Hopkins, M., Blundell, J., & Finlayson, G. (2018). Homeostatic and non-homeostatic appetite control along the spectrum of physical activity levels: An updated perspective. Physiology & behavior, 192, 23–29. https://doi.org/10.1016/j.physbeh.2017.12.032",Journal Article,1
10430,1044,1,"Speakman, J. R., Levitsky, D. A., Allison, D. B., Bray, M. S., de Castro, J. M., Clegg, D. J., Clapham, J. C., Dulloo, A. G., Gruer, L., Haw, S., Hebebrand, J., Hetherington, M. M., Higgs, S., Jebb, S. A., Loos, R. J., Luckman, S., Luke, A., Mohammed-Ali, V., O'Rahilly, S., Pereira, M., … Westerterp-Plantenga, M. S. (2011). Set points, settling points and some alternative models: theoretical options to understand how genes and environments combine to regulate body adiposity. Disease models & mechanisms, 4(6), 733–745. https://doi.org/10.1242/dmm.008698",Journal Article,1
10440,1045,1,"Speakman, J. R., Levitsky, D. A., Allison, D. B., Bray, M. S., de Castro, J. M., Clegg, D. J., Clapham, J. C., Dulloo, A. G., Gruer, L., Haw, S., Hebebrand, J., Hetherington, M. M., Higgs, S., Jebb, S. A., Loos, R. J., Luckman, S., Luke, A., Mohammed-Ali, V., O'Rahilly, S., Pereira, M., … Westerterp-Plantenga, M. S. (2011). Set points, settling points and some alternative models: theoretical options to understand how genes and environments combine to regulate body adiposity. Disease models & mechanisms, 4(6), 733–745. https://doi.org/10.1242/dmm.008698",Journal Article,1
10450,1046,1,"McGowan, C. J., Pyne, D. B., Thompson, K. G., & Rattray, B. (2015). Warm-Up Strategies for Sport and Exercise: Mechanisms and Applications. Sports medicine (Auckland, N.Z.), 45(11), 1523–1546. https://doi.org/10.1007/s40279-015-0376-x",Journal Article,1
10460,1047,1,"McGowan, C. J., Pyne, D. B., Thompson, K. G., & Rattray, B. (2015). Warm-Up Strategies for Sport and Exercise: Mechanisms and Applications. Sports medicine (Auckland, N.Z.), 45(11), 1523–1546. https://doi.org/10.1007/s40279-015-0376-x",Journal Article,1
10480,1049,1,"McGowan, C. J., Pyne, D. B., Thompson, K. G., & Rattray, B. (2015). Warm-Up Strategies for Sport and Exercise: Mechanisms and Applications. Sports medicine (Auckland, N.Z.), 45(11), 1523–1546. https://doi.org/10.1007/s40279-015-0376-x",Journal Article,1
10500,1051,1,"Iversen, K. N., Dicksved, J., Zoki, C., Fristedt, R., Pelve, E. A., Langton, M., & Landberg, R. (2022). The Effects of High Fiber Rye, Compared to Refined Wheat, on Gut Microbiota Composition, Plasma Short Chain Fatty Acids, and Implications for Weight Loss and Metabolic Risk Factors (the RyeWeight Study). Nutrients, 14(8), 1669. https://doi.org/10.3390/nu14081669",Journal Article,1
10520,1053,1,"Jin, M., Pei, J., Bai, Z., Zhang, J., He, T., Xu, X., Zhu, F., Yu, D., & Zhang, Z. (2022). Effects of virtual reality in improving upper extremity function after stroke: A systematic review and meta-analysis of randomized controlled trials. Clinical rehabilitation, 36(5), 573–596. https://doi.org/10.1177/02692155211066534",Journal Article,1
10530,1054,1,"McGowan, C. J., Pyne, D. B., Thompson, K. G., & Rattray, B. (2015). Warm-Up Strategies for Sport and Exercise: Mechanisms and Applications. Sports medicine (Auckland, N.Z.), 45(11), 1523–1546. https://doi.org/10.1007/s40279-015-0376-x",Journal Article,1
10590,1060,1,"Drewnowski, A., Maillot, M., & Vieux, F. (2022). Multiple Metrics of Carbohydrate Quality Place Starchy Vegetables Alongside Non-starchy Vegetables, Legumes, and Whole Fruit. Frontiers in nutrition, 9, 867378. https://doi.org/10.3389/fnut.2022.867378",Journal Article,1
10610,1062,1,"Dupuy, O., Douzi, W., Theurot, D., Bosquet, L., & Dugué, B. (2018). An Evidence-Based Approach for Choosing Post-exercise Recovery Techniques to Reduce Markers of Muscle Damage, Soreness, Fatigue, and Inflammation: A Systematic Review With Meta-Analysis. Frontiers in physiology, 9, 403. https://doi.org/10.3389/fphys.2018.00403",Journal Article,1
10611,1062,2,"Wang, Y., Lu, H., Li, S., Zhang, Y., Yan, F., Huang, Y., Chen, X., Yang, A., Han, L., & Ma, Y. (2022). Effect of cold and heat therapies on pain relief in patients with delayed onset muscle soreness: A network meta-analysis. Journal of rehabilitation medicine, 54, jrm00258. https://doi.org/10.2340/jrm.v53.331",Journal Article,1
10690,1070,1,"Adams, C. E., & Leary, M. R. (2007). Promoting self–compassionate attitudes toward eating among restrictive and guilty eaters. Journal of social and clinical psychology, 26(10), 1120-1144.",Journal Article,1
10710,1072,1,"Tonfack Djikeng, F., Selle, E., Morfor, A. T., Tiencheu, B., Hako Touko, B. A., Teboukeu Boungo, G., Ndomou Houketchang, S., Karuna, M., Linder, M., Ngoufack, F. Z., & Womeni, H. M. (2017). Effect of Boiling and roasting on lipid quality, proximate composition, and mineral content of walnut seeds (Tetracarpidium conophorum) produced and commercialized in Kumba, South-West Region Cameroon. Food science & nutrition, 6(2), 417–423. https://doi.org/10.1002/fsn3.570",Journal Article,1
10730,1074,1,"Louise Prior, J., Vesentini, G., De Gregorio, J., Ferreira, P. H., Hunter, D. J., & Ferreira, M. L. (2022). Health coaching for low back pain, hip and knee osteoarthritis: A Systematic Review with Meta-Analysis. Pain medicine (Malden, Mass.), pnac099. Advance online publication. https://doi.org/10.1093/pm/pnac099",Journal Article,1
10790,1080,1,"Proost, M., Habay, J., De Wachter, J., De Pauw, K., Rattray, B., Meeusen, R., Roelands, B., & Van Cutsem, J. (2022). How to Tackle Mental Fatigue: A Systematic Review of Potential Countermeasures and Their Underlying Mechanisms. Sports medicine (Auckland, N.Z.), 10.1007/s40279-022-01678-z. Advance online publication. https://doi.org/10.1007/s40279-022-01678-z",Journal Article,1
10850,1086,1,"Byrne, N. M., Sainsbury, A., King, N. A., Hills, A. P., & Wood, R. E. (2018). Intermittent energy restriction improves weight loss efficiency in obese men: the MATADOR study. International journal of obesity (2005), 42(2), 129–138. https://doi.org/10.1038/ijo.2017.206",Journal Article,1
11170,1118,1,"Levine, J. A., Eberhardt, N. L., & Jensen, M. D. (1999). Role of nonexercise activity thermogenesis in resistance to fat gain in humans. Science (New York, N.Y.), 283(5399), 212–214. https://doi.org/10.1126/science.283.5399.212",Journal Article,1
11171,1118,2,"Beaulieu, K., Hopkins, M., Blundell, J., & Finlayson, G. (2018). Homeostatic and non-homeostatic appetite control along the spectrum of physical activity levels: An updated perspective. Physiology & behavior, 192, 23–29. https://doi.org/10.1016/j.physbeh.2017.12.032",Journal Article,1
11350,1136,1,"Adams, C. E., & Leary, M. R. (2007). Promoting self–compassionate attitudes toward eating among restrictive and guilty eaters. Journal of social and clinical psychology, 26(10), 1120-1144.",Journal Article,1
11760,1177,1,"Hume, C., Grieger, J. A., Kalamkarian, A., D'Onise, K., & Smithers, L. G. (2022). Community gardens and their effects on diet, health, psychosocial and community outcomes: a systematic review. BMC public health, 22(1), 1247. https://doi.org/10.1186/s12889-022-13591-1",Journal Article,1
11840,1185,1,"Wang, Y., Feng, L., Zeng, G., Zhu, H., Sun, J., Gao, P., Yuan, J., Lan, X., Li, S., Zhao, Y., Chen, X., Dong, H., Chen, S., Li, Z., Zhu, Y., Li, M., Li, X., Yang, Z., Li, H., Fang, H., … DECIDE-Diet Study Group (2022). Effects of Cuisine-Based Chinese Heart-Healthy Diet in Lowering Blood Pressure Among Adults in China: Multicenter, Single-Blind, Randomized, Parallel Controlled Feeding Trial. Circulation, 146(4), 303–315. https://doi.org/10.1161/CIRCULATIONAHA.122.059045",Journal Article,1
11841,1185,2,"Xie, W., Wang, Y., Sun, J., Zeng, G., Zhu, H., Yang, Z., Gao, P., Yang, J., Feng, L., Lin, P. H., Li, M., Xu, J., Chen, J., & Wu, Y. (2020). Protocol of a multicenter, single-blind, randomised, parallel controlled feeding trial evaluating the effect of a Chinese Healthy Heart (CHH) diet in lowering blood pressure and other cardiovascular risk factors. BMJ open, 10(8), e036394. https://doi.org/10.1136/bmjopen-2019-036394",Journal Article,1
11870,1188,1,"Haussmann, A., Schmidt, M. E., Illmann, M. L., Schröter, M., Hielscher, T., Cramer, H., Maatouk, I., Horneber, M., & Steindorf, K. (2022). Meta-Analysis of Randomized Controlled Trials on Yoga, Psychosocial, and Mindfulness-Based Interventions for Cancer-Related Fatigue: What Intervention Characteristics Are Related to Higher Efficacy?. Cancers, 14(8), 2016. https://doi.org/10.3390/cancers14082016",Journal Article,1
11890,1190,1,"Small, J. A., & Cochrane, D. (2020). Spaced Retrieval and Episodic Memory Training in Alzheimer's Disease. Clinical interventions in aging, 15, 519–536. https://doi.org/10.2147/CIA.S242113",Journal Article,1
11891,1190,2,"Vorwerk, T. M., Shelton, S. T., & Hood, R. W. (2022). Keeping Your Glass Half Full: Cognitive Strategy Intervention for Older Adults. Gerontology & geriatric medicine, 8, 23337214221089178. https://doi.org/10.1177/23337214221089178",Journal Article,1
11900,1191,1,"Saragih, I. D., Suarilah, I., Son, N. T., & Lee, B. O. (2022). Efficacy of n on‐pharmacological interventions to reduce pain in people with dementia: A systematic review and meta‐analysis. Journal of Clinical Nursing.",Journal Article,1
11940,1195,1,"Bradt, J., Dileo, C., Myers-Coffman, K., & Biondo, J. (2021). Music interventions for improving psychological and physical outcomes in people with cancer. Cochrane Database of Systematic Reviews, (10).",Journal Article,1
11960,1197,1,"Blicher-Hansen, J., Chilcot, J., & Gardner, B. (2022). Experiences of successful physical activity maintenance among adults with type 2 diabetes: a theory-based qualitative study. Psychology & health, 1–18. Advance online publication. https://doi.org/10.1080/08870446.2022.2063863",Journal Article,1
12120,1213,1,"Hallström, E., Bajzelj, B., Håkansson, N., Sjons, J., Åkesson, A., Wolk, A., & Sonesson, U. (2021). Dietary climate impact: Contribution of foods and dietary patterns by gender and age in a Swedish population. Journal of Cleaner Production, 306, 127189.",Journal Article,1
11,2,2,"Examine. (2022 January). Sleep characteristics influence glucose regulation the next day . Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1lGLqd",Research Review: Examine,2
181,19,2,"Examine. (2022 March). Can sleeping more help you eat less?. Examine Study Summaries, https://examine.com/members/summaries/issue/march-2022/summary-1jkLw0",Research Review: Examine,2
232,24,3,"Examine. (2021 September). A brief nap does not mitigate the effects of sleep deprivation on cognition. Examine Study Summaries, https://examine.com/members/summaries/issue/september-2021/summary-dpnrx0",Research Review: Examine,2
631,64,2,"Examine. (2022 January). Sleep characteristics influence glucose regulation the next day . Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1lGLqd",Research Review: Examine,2
691,70,2,"Examine. (2021 September). Aromatherapy moderately improves agitation and aggression in people with cognitive impairment. Examine Study Summaries, https://examine.com/members/summaries/issue/september-2021/summary-15WPw9",Research Review: Examine,2
811,82,2,"Examine. (2021 December). What are the long-term effects of menopause on rates of bone loss?. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-dx7pK9",Research Review: Examine,2
831,84,2,"Examine. (2021 December). What are the long-term effects of menopause on rates of bone loss?. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-dx7pK9",Research Review: Examine,2
973,98,4,"Examine. (2021 January). Insufficient activity blunts our metabolic response to exercise. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2021/summary-g98KG0",Research Review: Examine,2
1560,157,1,"Examine. (2017 October). Blood sugar and spice. Examine Study Deep Dives, 1(36), https://examine.com/members/deep-dives/article/blood-sugar-and-spice/",Research Review: Examine,2
1571,158,2,"Examine. (2021 November). Caffeine, genetics, and obesity risk. Examine Study Summaries. https://examine.com/members/summaries/issue/november-2021/summary-1YWlL9",Research Review: Examine,2
1591,160,2,"Examine. (2021 November). Should children over 2 years of age switch from whole-fat to low-fat dairy? Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-1YWRP9",Research Review: Examine,2
1600,161,1,"Examine. (2021 November). The effects of calorie restriction on testosterone levels depend on baseline body composition. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-1wo641",Research Review: Examine,2
1620,163,1,Examine. (2021 November). Best behavioral and/or exercise interventions for fatigue in MS. Examine Study Summaries. https://examine.com/members/summaries/issue/november-2021/summary-1rNmx1/,Research Review: Examine,2
1640,165,1,"Examine. (2021 November). Physical exercise improved working memory in older adults. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-dVglz1",Research Review: Examine,2
1660,167,1,"Examine. (2021 November). The effect of caloric restriction, with or without omega−3 supplementation, on markers of bone turnover. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-dZNBrd",Research Review: Examine,2
1671,168,2,"Examine. (2021 November). An energy deficit impairs lean mass gains but not strength gains. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-9KGMB9",Research Review: Examine,2
1681,169,2,"Examine. (2021 November). Best exercise type for quality of life in multiple sclerosis. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-dG4ML1",Research Review: Examine,2
1691,170,2,"Examine. (2021 November). An energy deficit impairs lean mass gains but not strength gains. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-9KGMB9",Research Review: Examine,2
1715,172,6,"Examine. (2021 November). A modified DASH diet moderately improves blood pressure in adults with hypertension. Examine Study Summaries, https://examine.com/members/summaries/issue/november-2021/summary-0XDqJ0",Research Review: Examine,2
1763,177,4,"Examine. (2022 June). Effect of sonic ambience and music on meal duration and enjoyment. Examine Study Summaries, https://examine.com/members/summaries/issue/june-2022/summary-1lB6Q9",Research Review: Examine,2
1784,179,5,"Examine. (2022 February). Is 10,000 steps per day an evidence-based recommendation?. Examine Study Summaries, https://examine.com/members/summaries/issue/october-2021/summary-1MoZ29",Research Review: Examine,2
1794,180,5,"Examine. (2022 February). Is 10,000 steps per day an evidence-based recommendation?. Examine Study Summaries, https://examine.com/members/summaries/issue/october-2021/summary-1MoZ29",Research Review: Examine,2
1821,183,2,Examine. (2021 December). Coffee increases muscle glycogen resynthesis. Examine Study Summaries. doi: https://examine.com/members/summaries/issue/december-2021/summary-0A7L7d,Research Review: Examine,2
2001,201,2,"Examine. (2015 March). Beating high blood pressure with beets. Examine Study Deep Dives, 1(5), https://examine.com/members/deep-dives/article/beating-high-blood-pressure-with-beets/",Research Review: Examine,2
2010,202,1,"Examine. (2015 March). Beating high blood pressure with beets. Examine Study Deep Dives, 1(5), https://examine.com/members/deep-dives/article/beating-high-blood-pressure-with-beets/",Research Review: Examine,2
2091,210,2,"Examine. (2021 December). Does increasing protein and calcium in older adults reduce the frequency of fractures and falls? Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-9DK5q0",Research Review: Examine,2
2112,212,3,"Examine. (2021 December). Does time-restricted eating promote the wrong type of weight loss? Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-dZNOZd",Research Review: Examine,2
2121,213,2,"Examine. (2021 December). Does a calorie deficit modify the effect of sodium on blood pressure?. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-9glKb",Research Review: Examine,2
2131,214,2,"Examine. (2021 December). Diet and sleep quality is associated with mental health in women with type 2 diabetes. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-98km70",Research Review: Examine,2
2141,215,2,"Examine. (2021 December). One more reason to sleep well: Gait control . Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-1lGWod",Research Review: Examine,2
2151,216,2,"Examine. (2021 December). Familiar music might improve memory during cognitive decline. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-dnYEo9",Research Review: Examine,2
2302,231,3,"Examine. (2021 June). Lower fat intake, lower testosterone levels?. Examine Study Deep Dives, https://examine.com/members/deep-dives/article/lower-fat-intake-lower-testosterone-levels/",Research Review: Examine,2
2341,235,2,Examine. (2021 December). Turning back the clock: Can exercise and a healthy diet reduce your biological age?. Examine Study Summaries. doi: https://examine.com/members/summaries/issue/december-2021/summary-9DKob0,Research Review: Examine,2
2352,236,3,"Examine. (2021 December). Magnesium intake is associated with improved bone mineral density…sometimes. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-9glpDd",Research Review: Examine,2
2362,237,3,"Examine. (2021 December). Magnesium intake is associated with improved bone mineral density…sometimes. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-9glpDd",Research Review: Examine,2
2371,238,2,"Examine. (2021 December). Plant-based diets and chronic kidney disease. Examine Study Summaries, 1(1), https://examine.com/members/summaries/issue/december-2021/summary-1woGy1",Research Review: Examine,2
2382,239,3,"Examine. (2021 December). Higher intake of fiber, fruits, and vegetables improves quality of life in colorectal cancer survivors. Examine Study Summaries, https://examine.com/members/summaries/issue/december-2021/summary-dZNvMd",Research Review: Examine,2
2402,241,3,"Examine. (2021 December). Comparing different protein sources' impact on bone turnover. Examine Study Summaries, 1(74), https://examine.com/members/deep-dives/article/comparing-different-protein-sources-impact-on-bone-turnover/",Research Review: Examine,2
2642,265,3,"Examine. (2022 February). Evaluating fish oil for depression. Examine Study Summaries, https://examine.com/members/summaries/issue/february-2022/summary-1aNOO0",Research Review: Examine,2
2721,273,2,"Examine. (2022 January). Fasted vs. fed exercise: Energy intake and expenditure, hunger, and gastrointestinal hormones. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-17k6g1",Research Review: Examine,2
2731,274,2,"Examine. (2022 January). Does exercise adaptation vary with genetics?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9Qg2W1",Research Review: Examine,2
2741,275,2,"Examine. (2022 January). The effects of cold exposure on brown fat and energy expenditure. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1aNZg0",Research Review: Examine,2
2752,276,3,"Examine. (2022 January). Does concurrent training attenuate gains in maximal strength, explosive strength, or muscle size? Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1PQaW0",Research Review: Examine,2
2762,277,3,"Examine. (2022 January). Does concurrent training attenuate gains in maximal strength, explosive strength, or muscle size? Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1PQaW0",Research Review: Examine,2
2771,278,2,"Examine. (2022 January). Resistance exercise for improving arterial stiffness. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9QgYW1",Research Review: Examine,2
2791,280,2,"Examine. (2022 January). The 5:2 diet: Adherence and effects on weight loss . Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-dZNRVd",Research Review: Examine,2
2801,281,2,"Examine. (2022 January). Does coffee increase the risk of arrhythmias?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-1vEAyd",Research Review: Examine,2
2811,282,2,"Examine. (2022 January). The acute, chronic, and cessation effects of smoking on arterial stiffness. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-98k7b0",Research Review: Examine,2
2920,293,1,"Examine. (2015 November). Not-so-safe supplements. Examine Study Deep Dives, 1(15), https://examine.com/members/deep-dives/article/not-so-safe-supplements/",Research Review: Examine,2
3332,334,3,"Examine. (2022 January). Bright ambient morning light improves sleep among older adults with dementia. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9DKYD0",Research Review: Examine,2
3333,334,4,"Examine. (2022 April). The effect of light therapy on sleep quality in people with dementia. Examine Study Summaries, https://examine.com/members/summaries/issue/april-2022/summary-dEvQb1",Research Review: Examine,2
3340,335,1,"Examine. (2022 January). The effect of insulin resistance on cognitive status and dementia. Examine Study Summaries, ",Research Review: Examine,2
3351,336,2,"Examine. (2022 January). Acute carbohydrate overfeeding induces metabolic dysfunction through an insulin-dependent redox mechanism. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9koxb9",Research Review: Examine,2
3371,338,2,"Examine. (2022 January). Can we remove the health halo from coconut oil yet?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-15WBn9",Research Review: Examine,2
3382,339,3,"Examine. (2022 January). Associations between gestational diabetes, breastfeeding, and metabolic syndrome. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9glgRd",Research Review: Examine,2
3383,339,4,"Examine. (2022 January). The metabolic effects of breastfeeding in individuals with previous gestational diabetes. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-12wBQ0",Research Review: Examine,2
3391,340,2,"Examine. (2022 January). The effect of magnesium supplementation on glucose and insulin sensitivity parameters. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-9WLvzd",Research Review: Examine,2
3402,341,3,"Examine. (2022 January). Coffee or tea? Why not both?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-db2Lod",Research Review: Examine,2
3411,342,2,"Examine. (2022 January). Coffee or tea? Why not both?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-db2Lod",Research Review: Examine,2
3420,343,1,"Examine. (2022 January). Coffee or tea? Why not both?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-db2Lod",Research Review: Examine,2
3443,345,4,"Examine. (2022 January). Are plant-based diets associated with lower bone mineral density?. Examine Study Summaries, https://examine.com/members/summaries/issue/january-2022/summary-17kBK1",Research Review: Examine,2
3444,345,5,"Examine. (2022 April). Do vegetarians experience greater declines in bone mineral density?. Examine Study Summaries, https://examine.com/members/summaries/issue/april-2022/summary-9D6PG1",Research Review: Examine,2
3501,351,2,"Helms, E. (2022). Time-Restricted Feeding Protocols Might Help You Stay Lean, But Hinder Muscle Gain. Examine Study Summaries, 6(1), 38-49",Research Review: Examine,2
3851,386,2,"Examine. (2022 February). Is caffeine less ergogenic if you consume it regularly?. Examine Study Summaries, https://examine.com/members/summaries/issue/october-2021/summary-9ko579",Research Review: Examine,2
3963,397,4,"Examine. (2022 February). Nutrient strengths and shortcomings in plant-based diets. Examine Study Summaries, https://examine.com/members/summaries/issue/february-2022/summary-98krp0",Research Review: Examine,2
3971,398,2,"Examine. (2021). Mini: Reliable associations between dietary factors and different kinds of cancer. Examine Study Deep Dives, 1(83), https://examine.com/members/deep-dives/article/mini-reliable-associations-between-dietary-factors-and-different-kinds-of-cancer/",Research Review: Examine,2
3982,399,3,"Examine. (2021). Mini: Reliable associations between dietary factors and different kinds of cancer. Examine Study Deep Dives, 1(83), https://examine.com/members/deep-dives/article/mini-reliable-associations-between-dietary-factors-and-different-kinds-of-cancer/",Research Review: Examine,2
3991,400,2,"Examine. (2021). Mini: Reliable associations between dietary factors and different kinds of cancer. Examine Study Deep Dives, 1(83), https://examine.com/members/deep-dives/article/mini-reliable-associations-between-dietary-factors-and-different-kinds-of-cancer/",Research Review: Examine,2
4001,401,2,"Examine. (2021). Mini: Reliable associations between dietary factors and different kinds of cancer. Examine Study Deep Dives, 1(83), https://examine.com/members/deep-dives/article/mini-reliable-associations-between-dietary-factors-and-different-kinds-of-cancer/",Research Review: Examine,2
